quality,metric,mean,ci_lo,ci_hi,ci_half_width,n
10,psnr_db,25.757354,25.549179,26.019446,0.235134,800
10,ssim,0.746819,0.74192,0.751942,0.005011,800
10,bpp,0.30686,0.296744,0.317097,0.010177,800
10,compression_ratio,103.182424,98.742063,108.436309,4.847123,800
10,jpeg_psnr,22.251463,22.139973,22.392748,0.126388,800
10,jpeg_ssim,0.62138,0.614241,0.628658,0.007208,800
10,jpeg_opt_psnr,24.660589,24.501415,24.823847,0.161216,800
10,jpeg_opt_ssim,0.717715,0.712201,0.722832,0.005315,800
25,psnr_db,28.803311,28.560475,29.059193,0.249359,800
25,ssim,0.846847,0.843077,0.850253,0.003588,800
25,bpp,0.631121,0.610911,0.650083,0.019586,800
25,compression_ratio,52.035733,49.120403,56.207493,3.543545,800
25,jpeg_psnr,26.971105,26.801305,27.142627,0.170661,800
25,jpeg_ssim,0.806518,0.802008,0.810583,0.004288,800
25,jpeg_opt_psnr,28.319718,28.09623,28.53942,0.221595,800
25,jpeg_opt_ssim,0.838697,0.835421,0.842019,0.003299,800
50,psnr_db,30.99915,30.73836,31.277158,0.269399,800
50,ssim,0.895612,0.892773,0.898105,0.002666,800
50,bpp,1.018042,0.989617,1.048504,0.029444,800
50,compression_ratio,32.881655,30.511872,36.477107,2.982618,800
50,jpeg_psnr,30.118856,29.910287,30.329996,0.209855,800
50,jpeg_ssim,0.884578,0.88189,0.887107,0.002608,800
50,jpeg_opt_psnr,30.681157,30.42442,30.924173,0.249876,800
50,jpeg_opt_ssim,0.89361,0.891053,0.896099,0.002523,800
75,psnr_db,33.159437,32.921602,33.457468,0.267933,800
75,ssim,0.928852,0.926792,0.930812,0.00201,800
75,bpp,1.551057,1.508693,1.596435,0.043871,800
75,compression_ratio,21.577848,19.704273,24.538458,2.417093,800
75,jpeg_psnr,32.643288,32.426662,32.88493,0.229134,800
75,jpeg_ssim,0.925895,0.923992,0.927737,0.001872,800
75,jpeg_opt_psnr,33.010697,32.769025,33.239627,0.235301,800
75,jpeg_opt_ssim,0.92935,0.927317,0.931187,0.001935,800
90,psnr_db,36.132507,35.868772,36.4085,0.269864,800
90,ssim,0.958358,0.956852,0.959761,0.001454,800
90,bpp,2.591484,2.523294,2.654225,0.065465,800
90,compression_ratio,12.084348,11.141503,14.490066,1.674282,800
90,jpeg_psnr,36.118907,35.888114,36.337709,0.224797,800
90,jpeg_ssim,0.959397,0.958205,0.96058,0.001187,800
90,jpeg_opt_psnr,36.302687,36.067232,36.539151,0.235959,800
90,jpeg_opt_ssim,0.960153,0.958842,0.961278,0.001218,800
