index,filename,quality,width,height,psnr_db,ssim,bpp,compression_ratio,jpeg_q_match,jpeg_bpp,jpeg_psnr,jpeg_ssim,jpeg_opt_q,jpeg_opt_bpp,jpeg_opt_psnr,jpeg_opt_ssim,original_kb,compressed_kb,time_sec
1,0001.png,10,256,256,25.5402,0.700393,0.2542,94.3983,5,0.261,23.1133,0.463725,8,0.2372,24.7972,0.642228,192.0,2.03,0.208
1,0001.png,25,256,256,28.1433,0.831543,0.5944,40.3764,16,0.5872,27.044,0.784805,22,0.5944,27.8559,0.820842,192.0,4.76,0.164
1,0001.png,50,256,256,29.6051,0.882489,1.0153,23.6389,40,1.0126,29.2571,0.870797,45,1.0068,29.4941,0.878478,192.0,8.12,0.178
1,0001.png,75,256,256,30.9236,0.914683,1.5623,15.3617,70,1.5543,30.8105,0.91053,73,1.5774,31.0529,0.915436,192.0,12.5,0.195
1,0001.png,90,256,256,33.1052,0.950308,2.7296,8.7926,89,2.741,33.6123,0.953221,89,2.672,33.6123,0.953221,192.0,21.84,0.228
2,0002.png,10,256,256,23.1279,0.686263,0.3539,67.8105,5,0.3444,21.343,0.569734,8,0.34,22.7115,0.658837,192.0,2.83,0.153
2,0002.png,25,256,256,25.6238,0.807048,0.7755,30.9497,18,0.77,24.8178,0.772482,22,0.7678,25.3831,0.796893,192.0,6.2,0.167
2,0002.png,50,256,256,27.4743,0.868471,1.2773,18.7899,41,1.2754,27.1437,0.857976,45,1.2681,27.3977,0.864547,192.0,10.22,0.195
2,0002.png,75,256,256,29.7307,0.915491,1.9931,12.0415,71,1.9818,29.5745,0.912184,73,2.0121,29.803,0.916126,192.0,15.94,0.21
2,0002.png,90,256,256,33.14,0.959318,3.3368,7.1924,89,3.3519,33.1262,0.959126,89,3.2874,33.1262,0.959126,192.0,26.69,0.251
3,0003.png,10,256,256,26.3324,0.799852,0.2368,101.3705,3,0.2416,22.1809,0.659043,8,0.2433,25.636,0.775459,192.0,1.89,0.151
3,0003.png,25,256,256,29.1756,0.885948,0.503,47.7146,16,0.4988,28.0158,0.853843,21,0.4963,28.8511,0.876814,192.0,4.02,0.16
3,0003.png,50,256,256,30.8898,0.92442,0.8251,29.0889,39,0.8258,30.4947,0.916027,44,0.8281,30.8219,0.92213,192.0,6.6,0.171
3,0003.png,75,256,256,32.6817,0.950558,1.286,18.6619,70,1.2856,32.4966,0.947776,72,1.2803,32.6846,0.94958,192.0,10.29,0.18
3,0003.png,90,256,256,35.4615,0.972019,2.2222,10.8002,89,2.2454,35.7488,0.972316,89,2.1962,35.7488,0.972316,192.0,17.78,0.212
4,0004.png,10,256,256,29.7335,0.855296,0.1016,236.1658,1,0.2086,20.5345,0.761486,4,0.0991,23.806,0.793284,192.0,0.81,0.145
4,0004.png,25,256,256,33.5528,0.900656,0.2045,117.3779,1,0.2086,20.5345,0.761486,18,0.2075,32.5452,0.891888,192.0,1.64,0.146
4,0004.png,50,256,256,36.0593,0.933924,0.3531,67.9775,26,0.3553,33.9954,0.910527,41,0.3569,35.5569,0.928715,192.0,2.82,0.163
4,0004.png,75,256,256,38.249,0.953717,0.6107,39.3,65,0.6119,37.3814,0.946585,70,0.6025,37.8651,0.950961,192.0,4.89,0.188
4,0004.png,90,256,256,41.1992,0.970532,1.2139,19.7713,88,1.223,40.8876,0.967941,89,1.2195,41.0832,0.968761,192.0,9.71,0.243
5,0005.png,10,256,256,26.9491,0.82913,0.3529,68.0069,5,0.3611,23.6135,0.737639,8,0.35,25.9838,0.802751,192.0,2.82,0.156
5,0005.png,25,256,256,30.0969,0.901318,0.6778,35.4105,18,0.6775,28.9967,0.881129,22,0.6807,29.6457,0.894085,192.0,5.42,0.167
5,0005.png,50,256,256,32.3252,0.934943,1.0566,22.7138,41,1.0575,31.7611,0.927667,45,1.0538,32.0433,0.931721,192.0,8.45,0.184
5,0005.png,75,256,256,34.4594,0.957141,1.5759,15.2293,70,1.567,33.965,0.952967,72,1.5668,34.1806,0.954954,192.0,12.61,0.195
5,0005.png,90,256,256,37.4847,0.975701,2.6553,9.0387,89,2.6974,37.2174,0.974409,89,2.6147,37.2174,0.974409,192.0,21.24,0.222
6,0006.png,10,256,256,25.4906,0.624782,0.2702,88.8072,4,0.2681,22.3414,0.484432,8,0.2686,24.8003,0.593608,192.0,2.16,0.152
6,0006.png,25,256,256,28.1067,0.747722,0.6156,38.9834,19,0.6223,27.5383,0.719469,22,0.611,27.9187,0.73815,192.0,4.93,0.162
6,0006.png,50,256,256,29.8194,0.81852,1.0765,22.2937,42,1.0713,29.6245,0.810106,45,1.0669,29.8088,0.817936,192.0,8.61,0.178
6,0006.png,75,256,256,31.8778,0.880658,1.7342,13.8392,71,1.7324,31.864,0.881134,73,1.7482,32.0834,0.886534,192.0,13.87,0.203
