filename,index,quality,bpp_dct,bpp_jpeg,jpeg_quality_used,compression_ratio,sigma_adaptive,psnr_dct,ssim_dct,lpips_dct,kurt_dct,sigma_r_dct,tail_frac_dct,psnr_dncnn_pq,ssim_dncnn_pq,lpips_dncnn_pq,kurt_dncnn_pq,kurt_exc_dncnn_pq,sigma_r_dncnn_pq,skew_dncnn_pq,tail_frac_dncnn_pq,gain_psnr_dncnn_pq,psnr_dncnn_gl,ssim_dncnn_gl,lpips_dncnn_gl,kurt_dncnn_gl,kurt_exc_dncnn_gl,sigma_r_dncnn_gl,skew_dncnn_gl,tail_frac_dncnn_gl,gain_psnr_dncnn_gl,psnr_ffdnet_pq,ssim_ffdnet_pq,lpips_ffdnet_pq,kurt_ffdnet_pq,kurt_exc_ffdnet_pq,sigma_r_ffdnet_pq,skew_ffdnet_pq,tail_frac_ffdnet_pq,gain_psnr_ffdnet_pq,psnr_ffdnet_gl,ssim_ffdnet_gl,lpips_ffdnet_gl,kurt_ffdnet_gl,kurt_exc_ffdnet_gl,sigma_r_ffdnet_gl,skew_ffdnet_gl,tail_frac_ffdnet_gl,gain_psnr_ffdnet_gl,psnr_arcnn_pq,ssim_arcnn_pq,lpips_arcnn_pq,kurt_arcnn_pq,kurt_exc_arcnn_pq,sigma_r_arcnn_pq,skew_arcnn_pq,tail_frac_arcnn_pq,gain_psnr_arcnn_pq,psnr_arcnn_gl,ssim_arcnn_gl,lpips_arcnn_gl,kurt_arcnn_gl,kurt_exc_arcnn_gl,sigma_r_arcnn_gl,skew_arcnn_gl,tail_frac_arcnn_gl,gain_psnr_arcnn_gl
0503.png,1,10,0.3489,0.3486,5,68.7861,0.043783,26.0793,0.801722,,6.05452600082013,11.164695591723634,0.0140380859375,26.9254,0.830596,,6.465429092650679,3.4654290926506794,9.819203259677886,0.11975911247675831,0.0152435302734375,0.8461,26.7732,0.823666,,6.174848154045138,3.1748481540451383,10.049234498595498,0.07948981174632909,0.0147247314453125,0.6939,21.8027,0.687027,,6.912893422844769,3.9128934228447694,14.215937841763147,0.2086086468214952,0.031036376953125,-4.2766,26.2762,0.821966,,6.133278954849748,3.1332789548497484,10.51419521406964,-0.04750862137713379,0.0166015625,0.1969,26.8404,0.832226,,6.397921374598375,3.3979213745983747,9.952754772140148,0.12073271190103486,0.0157928466796875,0.7611,26.4875,0.81745,,6.043379170721019,3.0433791707210194,10.507237899465244,0.05963341854392206,0.0145416259765625,0.4082
0503.png,1,25,0.6757,0.6716,18,35.5177,0.0298,29.2643,0.886759,,5.968115509405804,7.599073343128174,0.0145111083984375,30.4372,0.911062,,6.755198682513264,3.7551986825132637,6.287416513655843,0.07551297309326749,0.01666259765625,1.1729,29.9873,0.900308,,6.294237037333116,3.294237037333116,6.780678455416246,0.0845475714499837,0.0160064697265625,0.723,24.9776,0.834772,,5.277547455158356,2.2775474551583557,10.970322827021006,0.08181237160047636,0.01788330078125,-4.2867,28.7015,0.892277,,6.6242129728356,3.6242129728355996,7.824920289031519,-0.07677955735009664,0.0188751220703125,-0.5628,29.818,0.900299,,6.419820956846139,3.419820956846139,6.97203063275129,0.050635992060354566,0.0154571533203125,0.5537,29.7646,0.898342,,6.3271820329419155,3.3271820329419155,7.034352717305509,0.06638293567097418,0.0157470703125,0.5003
0503.png,1,50,1.0562,1.0536,41,22.7237,0.022302,31.5601,0.925552,,6.099595402407231,5.6869394175730665,0.015228271484375,31.5556,0.92546,,6.095677030250219,3.0956770302502186,5.691420805233298,0.02527767582539663,0.01519775390625,-0.0045,32.2123,0.933403,,6.4830965181719185,3.4830965181719185,5.109809420333813,0.09109342489194157,0.0161590576171875,0.6522,29.4052,0.894782,,4.67684245919836,1.67684245919836,7.423960340317409,-0.34956926466016597,0.01025390625,-2.1549,29.9267,0.918326,,6.9744031574503405,3.9744031574503405,6.791556721765774,-0.031109919097561518,0.0190277099609375,-1.6334,32.0027,0.932165,,6.11858139151896,3.11858139151896,5.288845942415309,0.05088181846541789,0.0152587890625,0.4426,32.0785,0.933654,,6.4528148700848575,3.4528148700848575,5.229149525366216,0.08272442459293286,0.0155487060546875,0.5184
0503.png,1,75,1.5745,1.5894,71,15.243,0.016283,33.8238,0.950269,,5.569562843068843,4.152218039441737,0.0145416259765625,34.6535,0.95788,,5.785439460260252,2.7854394602602524,3.542501307093122,0.0745493524185966,0.015289306640625,0.8297,34.2402,0.954251,,5.948260420833169,2.9482604208331686,3.8533035410698,0.09223923934882078,0.0148162841796875,0.4164,26.2364,0.877804,,6.803095954684341,3.8030959546843413,6.023094657868755,-0.4210240152428462,0.081146240234375,-7.5874,30.6062,0.932918,,7.180414575806681,4.180414575806681,6.293568287125275,0.005793411121541282,0.0193939208984375,-3.2176,33.7607,0.950734,,5.766897874956473,2.7668978749564728,4.20219280283813,0.03905371403668973,0.0144195556640625,-0.0631,34.227,0.955369,,6.668039388524196,3.668039388524196,3.8690487426095173,0.1055797198072596,0.0158233642578125,0.4032
0503.png,1,90,2.5822,2.5421,88,9.2945,0.009503,37.0671,0.972659,,4.4476246761328575,2.4232149276863937,0.009674072265625,37.067,0.972659,,4.448066150876307,1.4480661508763069,2.423268650237445,-0.008382539129344288,0.0096893310546875,-0.0001,36.8661,0.972595,,5.554817771951676,2.554817771951676,2.5517792837394255,-0.05988414698914413,0.0128936767578125,-0.201,30.3288,0.920112,,3.5022696436903633,0.5022696436903633,7.2766714310967044,-0.15865788999574318,0.0059967041015625,-6.7383,31.0709,0.942656,,7.568077347634823,4.568077347634823,6.033699818207223,-0.014615852042547874,0.0201263427734375,-5.9962,36.6348,0.971664,,6.008529713599106,3.0085297135991063,2.690468160568741,0.04639396037590065,0.011077880859375,-0.4323,36.7465,0.973492,,9.324627662949808,6.324627662949808,2.6385261734448857,0.14611007065300097,0.0140533447265625,-0.3206
0048.png,2,10,0.2104,0.234,2,114.0831,0.027417,23.1281,0.684952,,8.826934390120803,6.991300316573931,0.020477294921875,23.2845,0.700982,,7.895684091527784,4.895684091527784,6.251850117734126,0.10715849844640314,0.0194244384765625,0.1564,23.2127,0.692269,,7.994286208530446,4.994286208530446,6.5037424085479,-0.08226203032835672,0.02056884765625,0.0846,21.7105,0.642819,,9.236104717500162,6.236104717500162,8.822293488328938,0.9291030820249919,0.042510986328125,-1.4176,22.8699,0.693512,,5.985488434509009,2.9854884345090094,7.165618890936931,-0.2066382348720266,0.0204315185546875,-0.2582,23.2869,0.700829,,8.05071581616677,5.05071581616677,6.14226518079085,0.06180780284269125,0.0200958251953125,0.1588,23.1975,0.690448,,8.363484017690215,5.363484017690215,6.644280485871295,-0.10468061678092767,0.0204315185546875,0.0694
0048.png,2,25,0.4064,0.4069,14,59.0503,0.019151,25.2812,0.777495,,8.62769927552681,4.883609968219019,0.0221099853515625,25.4806,0.786302,,7.76801250473307,4.76801250473307,4.026854996312368,-0.2843989448994447,0.0189361572265625,0.1994,25.3445,0.78073,,8.276702968295702,5.276702968295702,4.563550449220451,-0.17199311367710426,0.0218505859375,0.0633,24.3303,0.73005,,5.668318084839435,2.6683180848394352,6.646774842368187,-0.9167704831810487,0.03875732421875,-0.9509,24.9896,0.75527,,6.354097125985819,3.3540971259858194,5.303231181213956,-0.3629427155129802,0.023681640625,-0.2916,25.3645,0.781807,,8.339092998800169,5.339092998800169,4.5610682588691525,-0.15626246643839242,0.0212249755859375,0.0833,25.3456,0.780417,,8.543398237580021,5.543398237580021,4.621792069853481,-0.15056168032831357,0.02197265625,0.0644
0048.png,2,50,0.6402,0.6407,36,37.4866,0.01515,27.0462,0.829821,,7.764339874185624,3.863256035723226,0.019989013671875,27.045,0.829695,,7.735568713221147,4.735568713221147,3.8681637151599717,-0.2972730829731674,0.0199432373046875,-0.0012,27.1001,0.831355,,7.270270965810108,4.270270965810108,3.6421756231479643,-0.2592763502641936,0.019317626953125,0.0539,26.3587,0.754999,,3.0791564898623225,0.07915648986232249,5.5369053300009785,-0.3140767629343115,0.0054931640625,-0.6875,26.5842,0.795908,,5.864546326455651,2.8645463264556508,4.652375503924169,-0.40025689191726266,0.02490234375,-0.462,27.1214,0.831511,,7.15850453365209,4.15850453365209,3.6236642437202544,-0.24089303567711784,0.018218994140625,0.0752,27.1102,0.831979,,7.577590345161349,4.577590345161349,3.6602468248475426,-0.19655386398094837,0.019439697265625,0.064
0048.png,2,75,1.0103,1.0051,69,23.7546,0.011978,28.7033,0.864913,,6.286602081750776,3.054264122259328,0.01617431640625,28.8187,0.86673,,5.110991298314569,2.110991298314569,2.6993566398168105,-0.1752820329582394,0.0130767822265625,0.1154,28.7474,0.865661,,5.6580348949260895,2.6580348949260895,2.8892901740317076,-0.24638658317171339,0.015106201171875,0.0441,26.3722,0.766455,,6.728085476104824,3.728085476104824,4.002257190042692,0.5560390362197868,0.103759765625,-2.3311,27.9389,0.824204,,5.736413520543638,2.736413520543638,4.305076733259819,-0.3632182282952914,0.0245513916015625,-0.7644,28.7414,0.865561,,5.900359223771784,2.900359223771784,2.964954581921774,-0.20514199655032503,0.0157623291015625,0.0381,28.7576,0.866783,,6.212170306133406,3.212170306133406,2.9201459823669746,-0.137914089173374,0.0163421630859375,0.0543
0048.png,2,90,1.8874,1.8606,88,12.7158,0.008546,30.3315,0.902305,,4.450452469985107,2.1791285778984166,0.00982666015625,30.3315,0.902304,,4.4501824028192045,1.4501824028192045,2.1791805773931343,-0.12723687462890168,0.00982666015625,0.0,30.3444,0.901532,,4.209120499194629,1.2091204991946292,2.1082217018635143,-0.11381601251736266,0.0100860595703125,0.0129,28.5071,0.832369,,3.9312505173650356,0.9312505173650356,4.69261289575564,0.024569380816838626,0.015045166015625,-1.8244,29.144,0.85117,,5.834977168559232,2.8349771685592318,4.081145952281689,-0.32752246203074337,0.024566650390625,-1.1875,30.3401,0.902351,,4.45798732187369,1.4579873218736896,2.179234628278093,-0.14246298517979114,0.0096435546875,0.0086,30.3377,0.903571,,5.238451156577914,2.2384511565779137,2.212254516611206,-0.09853257514714658,0.012054443359375,0.0062
